Adrien	Brody
Al	Pacino
Alec	Guinness
Alice	Brady
Angelina	Jolie
Anjelica	Huston
Anna	Magnani
Anna	Paquin
Anne	Bancroft
Anne	Baxter
Anne	Revere
Anthony	Quinn
Art	Carney
Audrey	Hepburn
Barbra	Streisand
Barry	Fitzgerald
Beatrice	Straight
Ben	Johnson
Benicio Del	Toro
Bette	Davis
Brenda	Fricker
Burl	Ives
Burt	Lancaster
Catherine	Zeta-Jones
Celeste	Holm
Charles	Coburn
Charles	Laughton
Charlize	Theron
Charlton	Heston
Chris	Cooper
Christopher	Walken
Claire	Trevor
Clark	Gable
Claudette	Colbert
Cloris	Leachman
Dean	Jagger
Denzel	Washington
Diane	Keaton
Dianne	Wiest
Don	Ameche
Donald	Crisp
Donna	Reed
Dorothy	Malone
Ed	Begley
Edmond	OBrien
Edmund	Gwenn
Eileen	Heckart
Elizabeth	Taylor
Ellen	Burstyn
Emil	Jannings
Emma	Thompson
Estelle	Parsons
Ethel	Barrymore
Eva Marie	Saint
Fay	Bainter
Faye	Dunaway
Frances	McDormand
Frank	Sinatra
Fredric	March
Gale	Sondergaard
Gary	Cooper
Geena	Davis
Gene	Hackman
George	Arliss
George	Burns
George	Chakiris
George	Kennedy
George	Sanders
Geraldine	Page
Gig	Young
Ginger	Rogers
Glenda	Jackson
Gloria	Grahame
Goldie	Hawn
Grace	Kelly
Greer	Garson
Gregory	Peck
Gwyneth	Paltrow
Haing S.	Ngor
Halle	Berry
Harold	Russell
Hattie	McDaniel
Helen	Hayes
Helen	Hays
Helen	Hunt
Hilary	Swank
Holly	Hunter
Hugh	Griffith
Humphrey	Bogart
Ingrid	Bergman
Jack	Albertson
Jack	Lemmon
Jack	Nicholson
Jack	Palance
James	Coburn
James	Dunn
James	Stewart
Jane	Darwell
Jane	Fonda
Jane	Wyman
Janet	Gaynor
Jason	Robards
Jennifer	Connelly
Jennifer	Jones
Jessica	Lange
Jessica	Tandy
Jim	Broadbent
Jo Van	Fleet
Joan	Crawford
Joan	Fontaine
Joanne	Woodward
Jodie	Foster
Joe	Pesci
Joel	Gray
John	Gielgud
John	Houseman
John	Mills
John	Wayne
Jon	Voight
Jose	Ferrer
Joseph	Schildkraut
Josephine	Hull
Judi	Dench
Judy	Holliday
Julia	Roberts
Julie	Andrews
Julie	Christie
Juliette	Binoche
Karl	Malden
Katharine	Hepburn
Kathy	Bates
Katina	Paxinou
Kevin	Kline
Kevin	Spacey
Kim	Basinger
Kim	Hunter
Lee	Grant
Lee	Marvin
Lila	Kedrova
Linda	Hunt
Lionel	Barrymore
Liza	Minnelli
Loretta	Young
Louis Gossett,	Jr.
Louise	Fletcher
Luise	Rainer
Maggie	Smith
Marcia Gay	Harden
Margaret	Rutherford
Marie	Dressler
Marisa	Tomei
Marlee	Matlin
Marlon	Brando
Martin	Balsam
Martin	Landau
Mary	Astor
Mary	Pickford
Mary	Steenburgen
Maureen	Stapleton
Maximillian	Schell
Melvyn	Douglas
Mercedes	McCambridge
Mercedes	Ruehl
Meryl	Streep
Michael	Caine
Mira	Sorvino
Miyoshi	Umeki
Nicole	Kidman
Norma	Shearer
Olivia de	Havilland
Olympia	Dukakis
Patricia	Neal
Patty	Duke
Paul	Lukas
Paul	Muni
Peter	Finch
Peter	Ustinov
Red	Buttons
Renee	Zellweger
Richard	Dreyfuss
Rita	Moreno
Robert De	Niro
Robert	Donat
Robert	Duvall
Robin	Williams
Russell	Crowe
Ruth	Gordon
Sally	Field
Sandy	Dennis
Sean	Connery
Sean	Penn
Shelley	Winters
Shirley	Booth
Shirley	Jones
Shirley	MacLaine
Sidney	Poitier
Simone	Signoret
Sissy	Spacek
Sophia	Loren
Spencer	Tracy
Susan	Hayward
Susan	Sarandon
Tatum	ONeal
Teresa	Wright
Thomas	Mitchell
Tim	Robbins
Timothy	Hutton
Tom	Hanks
Tommy Lee	Jones
Van	Heflin
Vanessa	Redgrave
Victor	McLaglen
Vivien	Leigh
Wallace	Beery
Walter	Brennan
Walter	Huston
Walter	Matthau
Warner	Baxter
Wendy	Hiller
Whoopi	Goldberg
